combined_label,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses,question_idx
Q184_5,"we have a choice, ladies and gentlemen, and few things illustrate this more clearly than the experiences that we have made during the covid 19 pandemic.",0.507295,0,0.0,0.0,0.7564932437566999,0.3422016815931999,DEU_75_2020,DEU,75,2020,Mr. Heiko Maas,Minister for Foreign Affairs,6d69aee1959790765b485472f379a499b846fd998abc910a34cb543b1f6a3367,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,and that impatience gives us a rare and precious opportunity to act.,0.37525433,0,0.0,1.0,0.9999988547991302,0.3251525663933683,CAN_72_2017,CAN,72,2017,Mr. Justin Trudeau,Prime Minister,553649ee18433f10963ac5251d13a23e2aeed5ac09076959fd4271e9ec046b08,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,"we cannot understand why many countries, along with a large portion of the media, took a stance against early treatment measures.",0.45411178,0,0.0,0.0,0.9107139010418912,0.3180027718305064,BRA_76_2021,BRA,76,2021,Jair Bolsonaro,President ,952dacfb049cde1c16fb5041aa8f80008c72c0d1d934f2d97b84bfbb247ab56e,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,it is now up to us to decide whether we want to take the subsequent steps to prevent the system from continuing to be paralysed in the face of massive human suffering.,0.52384067,0,0.0,0.0,0.8626371843184312,0.3574362706272069,MEX_77_2022,MEX,77,2022,Marcelo Ebrard Casaubon,Minister of Foreign Affairs ,a9ec0a91eee1f58ab1e26d32edd5f6826962fa8128b2a8704c8563a6430f37df,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,our founders gave us a system designed to restrain that dangerous impulse.,0.46632016,0,0.0,0.0,0.999998990080302,0.3297920496951314,USA_74_2019,USA,74,2019,Mr. Donald Trump,President,5f5a17b58a6cb99ebef8ecb2b871ab45b5da80663874e0798fbc53856789f558,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,"it is our moral duty to combat that phenomenon, while at the same time promoting a society that rejects drugs because of their devastating effects on health and society.",0.46429572,0,0.0,0.0,0.86772471183624,0.321963682529373,COL_73_2018,COL,73,2018,Mr. Iván Duque Márquez,President,369b01c03e0793b0112368d2e6d26e1ea0eb994d51ac9f1f5c61c71ca4941d05,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,"for the second year in a row, this general debate is being held against the backdrop of the risks of the coronavirus disease covid 19 pandemic, which has claimed the lives of more than 4.5 million brothers and sisters worldwide.",0.49878004,0,0.0,0.0,0.6938775562844061,0.333961914894985,PER_76_2021,PER,76,2021,Pedro Castillo,President ,771f9f35b00b6a9e083759d0aafb8ec0395a9cf548ee9db9e50c3aeae33769db,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,"as a doctor, i believe that the first rule of medicine is to do no harm.",0.45183605,0,0.0,0.0,0.8883922707097468,0.3155212671113845,SGP_72_2017,SGP,72,2017,Mr. Vivian Balakrishnan,Minister for Foreign Affairs,295f017ce7999d9f7d45b407025adf2f31e2394ed596460e5e1a4ebadb510138,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,it is imperative to underscore that no one is safe until everyone is safe.,0.4595707,0,0.0,0.0,0.9999988547991302,0.3257423841557432,NGA_76_2021,NGA,76,2021,Muhammadu Buhari,President ,0994fd18c34012927c24af241ee3b1955a3afcf10e0eaa34256481ac8b9f5fda,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
Q184_5,in concrete terms we must not allow the development and production of vaccine and medical supplies to become yet another global competition.,0.46633005,0,0.0,0.0,0.8299316537362761,0.3212946135400852,SVK_75_2020,SVK,75,2020,Ms. Zuzana Caputova,President,93e29daeb3528603e150a881a77976be5b9f6e5dcd29693e61880648b09a1d7f,Q184,"Justifiable: Abortion Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion",Abortion is easily justifiable.,keep,abortion is easily justifiable.,5,,abortion is rarely justifiable.,"Abortion may be tolerated under rare and complex conditions. [SEP] Our society continues to debate when protection yields to choice. [SEP] The fragility of potential life urges restraint, though not rigidity. [SEP] Rare exceptions should not redefine the ethical rule. [SEP] We remain cautious in endorsing the severing of life before it begins.",12
